"date","geyser_id","total_volume","total_elec_energy","total_enthalpy","est_cost","energy_loss","percent_loss","t_out_min","t_out_mean","t_out_max","t_in_min","t_in_mean","t_in_max","t_amb_min","t_amb_mean","t_amb_max","total_events_count","upper_events_count","lower_events_count","event_midpoint","num_samples","packet_loss"
2015-10-08,104,4,0.8,0.1,1.2,0.7,87.5,42,45,51,18,20,26,16,19,26,1,0,1,10,528,63.33
2015-10-08,106,70.4,0,2.1,0,-2.1,-Inf,38,41,46,15,19,31,14,18,31,8,2,6,10,540,62.5
2015-10-08,107,80.4,6.6,3.3,9.9,3.3,50,50,52,58,16,18,25,14,18,34,8,3,5,10,507,64.79
2015-10-08,109,73.3,4.4,4,6.6,0.4,9.1,59,63,68,17,20,25,18,20,28,4,2,2,10,526,63.47
2015-10-08,112,78.6,6,4,9,2,33.3,41,47,66,13,16,19,14,18,26,6,2,4,10,527,63.4
