"date","geyser_id","total_volume","total_elec_energy","total_enthalpy","est_cost","energy_loss","percent_loss","t_out_min","t_out_mean","t_out_max","t_in_min","t_in_mean","t_in_max","t_amb_min","t_amb_mean","t_amb_max","total_events_count","upper_events_count","lower_events_count","event_midpoint","num_samples","packet_loss"
2015-09-23,104,102.4,6.2,4.1,6.15,2.1,33.9,44,49,58,15,23,37,15,23,34,10,2,8,10,1431,0.62
2015-09-23,106,187.6,9.8,6.1,9.15,3.7,37.8,36,43,51,14,21,33,14,21,33,21,8,13,10,1324,8.06
2015-09-23,107,503.5,20.7,18.4,27.6,2.3,11.1,38,46,59,13,21,38,13,23,41,46,11,35,10,1309,9.1
2015-09-23,108,109.9,9.6,6,9,3.6,37.5,62,65,70,12,25,40,12,21,36,20,2,18,10,1433,0.49
2015-09-23,109,64.9,6.8,3.5,5.25,3.3,48.5,59,63,70,17,22,31,18,23,33,9,2,7,10,1270,11.81
2015-09-23,111,99.7,7.4,4,6,3.4,45.9,47,51,57,12,18,25,17,22,26,33,2,31,10,1434,0.42
2015-09-23,112,124.3,9.1,6.2,9.3,2.9,31.9,42,46,62,13,16,20,13,19,26,3,3,0,10,1435,0.35
