"start_time","volume","duration","mean_flowrate","mean_temp_out","mean_temp_in","type","enthalpy"
2015-10-11 07:32:20,0.586667,1,0.586667,45,14,"hot",0.0211369601577778
2015-10-11 07:41:20,0.304,1,0.304,46,14,"hot",0.0113060977777778
2015-10-11 09:46:20,26.1973,2,13.09865,47.5,20,"hot",0.837294816111111
2015-10-11 09:56:20,0.1907,1,0.1907,47,22,"hot",0.00554089444444443
2015-10-11 11:23:20,33.3827,4,8.345675,50.75,26.5,"hot",0.940854307611111
2015-10-11 17:53:20,0.420000000000002,1,0.420000000000002,48,34,"hot",0.00683386666666669
2015-10-11 19:35:20,74.3957,3.98333333333333,18.6767447698745,49.5,20.75,"hot",2.48584965361111
