"start_time","volume","duration","mean_flowrate","mean_temp_out","mean_temp_in","type","enthalpy"
2015-10-10 07:05:21,0.198667,1,0.198667,45,17,"hot",0.00646506566222222
2015-10-10 07:59:20,0.4,1,0.4,45,16,"hot",0.0134817777777778
2015-10-10 09:00:21,0.221333,1,0.221333,43,18,"hot",0.00643095327777778
2015-10-10 09:28:20,57.4547,6,9.57578333333333,46.5,19.6666666666667,"hot",1.79179929781481
2015-10-10 10:52:21,3.1226,2.98333333333333,1.04668156424581,48.6666666666667,21,"hot",0.100406624740741
2015-10-10 11:25:21,0.988,1.98333333333333,0.498151260504201,51.5,24.5,"hot",0.03100344
2015-10-10 11:38:20,11.0387,8.01666666666667,1.37696881496882,52.875,22.25,"hot",0.392901062361111
2015-10-10 11:47:20,0.129299999999986,1,0.129299999999986,52,23,"hot",0.00435798466666621
2015-10-10 11:49:21,1.00940000000001,1.98333333333333,0.508941176470595,53,23,"hot",0.0351944133333338
2015-10-10 11:55:20,0.671899999999994,1,0.671899999999994,53,24,"hot",0.022646016222222
2015-10-10 11:59:21,6.7534,16.9833333333333,0.397648675171737,55,24,"hot",0.243317498222222
2015-10-10 13:09:21,2.2213,1,2.2213,56,30,"hot",0.0671227497777778
2015-10-10 13:25:21,0.829400000000007,1,0.829400000000007,56,30,"hot",0.0250626248888891
2015-10-10 13:59:21,7.084,3.98333333333333,1.778410041841,57.25,29.5,"hot",0.228470806666667
2015-10-10 14:05:21,0.251999999999995,0.983333333333333,0.256271186440673,57,27,"hot",0.00878639999999984
2015-10-10 14:19:20,2.2253,3.01666666666667,0.737668508287294,56.3333333333333,27.6666666666667,"hot",0.0741404025185187
2015-10-10 14:23:21,5.26129999999999,8,0.657662499999999,57,24.625,"hot",0.197966642805555
2015-10-10 14:32:21,1.61840000000001,1,1.61840000000001,57,24,"hot",0.062071034666667
2015-10-10 15:06:21,3.639,1.98333333333333,1.83478991596638,55,26,"hot",0.122650473333333
2015-10-10 15:15:20,32.24,4,8.06,55.75,24.25,"hot",1.1803064
2015-10-10 19:49:21,32.183,3,10.7276666666667,51.6666666666667,20.6666666666667,"hot",1.15951773111111
2015-10-10 19:58:21,0.15100000000001,0.983333333333333,0.153559322033909,51,21,"hot",0.00526486666666703
2015-10-10 20:04:21,16.974,1.98333333333333,8.55831932773109,53,20,"hot",0.65100948
2015-10-10 21:04:20,0.135000000000019,1,0.135000000000019,48,20,"hot",0.00439320000000063
2015-10-10 22:41:21,82.78,5.98333333333333,13.8350974930362,52.5,19.3333333333333,"hot",3.19092372592593
2015-10-10 22:51:21,25.84,2,12.92,51,19.5,"hot",0.946002400000001
