"date","geyser_id","total_volume","total_elec_energy","total_enthalpy","energy_loss","t_out_min","t_out_mean","t_out_max","t_in_min","t_in_mean","t_in_max","t_amb_min","t_amb_mean","t_amb_max","total_events_count","upper_events_count","lower_events_count","event_midpoint","num_samples","packet_loss"
2015-09-10,107,229.823,13.260822,9.00407112020055,4.25675087979945,39,44.5701892744479,54,12,15.852523659306,19,12,15.3777602523659,19,36,8,28,10,1268,11.9444444444444
2015-09-11,107,351.231,15.348182,13.4661644120823,1.88201758791772,39,46.4251781472684,58,13,19.1520190023753,33,12,20.7498020585907,36,44,6,38,10,1263,12.2916666666667
2015-09-12,107,294.588,12.9308,10.6409583591267,2.28984164087333,39,43.4588992137241,53,14,20.3838456040029,33,13,20.4510364546104,34,10,4,6,10,1399,2.84722222222223
2015-09-13,107,302.679,13.211121,11.0533310131549,2.15778998684512,39,45.4794816414687,53,15,24.3254139668826,41,14,24.2505399568035,40,12,6,6,10,1389,3.54166666666667
2015-09-14,107,387.675,15.3293,13.8162139437407,1.51308605625926,39,46.5881929445644,56,18,23.0323974082073,30,18,24.2080633549316,32,39,4,35,10,1389,3.54166666666667
2015-09-15,107,373.935,15.5791,13.4172391516296,2.16186084837037,40,45.2760690172543,56,17,19.9594898724681,26,16,19.9587396849212,26,31,7,24,10,1333,7.43055555555556
2015-09-16,107,501.119,21.7535,19.0013688686459,2.75213113135407,35,47.9109281437126,60,15,20.8278443113772,33,14,22.0351796407186,37,42,10,32,10,1336,7.22222222222221
2015-09-17,107,629.007,24.924627,23.5944766553944,1.33015034460555,40,45.6365606936416,56,14,18.4356936416185,25,14,18.900289017341,27,38,12,26,10,1384,3.88888888888889
2015-09-18,107,402.633,17.079891,14.4850326537253,2.59485834627469,40,46.3328641801548,57,13,19.2758620689655,34,13,20.6052076002815,37,51,7,44,10,1421,1.31944444444444
2015-09-19,107,182.52833,7.939835,6.34707234667192,1.59276265332808,38,44.7672727272727,55,13,22.4283636363636,39,12,22.6,40,11,2,9,10,1375,4.51388888888889
2015-09-20,107,385.1317,15.664517,13.7040871887441,1.96042981125593,39,44.2912482065997,52,15,22.3249641319943,37,15,22.0344332855093,38,17,6,11,10,1394,3.19444444444444
2015-09-21,107,302.841,14.673156,11.6625900475367,3.01056595246333,41,46.6551475881929,57,15,18.906407487401,26,14,19.1857451403888,27,52,9,43,10,1389,3.54166666666667
2015-09-22,107,357.407,14.5357,12.4790263396782,2.05667366032183,37,46.0223826714801,58,14,21.5025270758123,36,14,21.9046931407942,36,31,6,25,10,1385,3.81944444444444
2015-09-23,107,503.467,20.7215,18.4074265282222,2.31407347177777,38,46.4514896867838,59,13,21.0458365164248,38,13,22.6058059587471,41,46,11,35,10,1309,9.09722222222223
2015-09-24,107,251.903,11.139328,8.6264921747,2.5128358253,38,46.284604519774,54,14,21.2966101694915,36,13,22.194209039548,36,13,5,8,10,1416,1.66666666666667
2015-09-25,107,287.0827,13.493956,10.8913173670621,2.60263863293792,42,48.6532485875706,59,14,22.1617231638418,36,14,23.6652542372881,40,49,5,44,10,1416,1.66666666666667
2015-09-26,107,349.736,13.1003,10.8839304344444,2.21636956555555,36,42.7611622962438,48,15,17.2530120481928,20,15,16.7618710134656,19,11,7,4,10,1411,2.01388888888889
2015-09-27,107,158.041333,10.144635,6.13175507225889,4.01287992774111,40,47.8932862190813,55,13,17.8593639575972,30,13,18.7837455830389,36,11,3,8,10,1415,1.73611111111111
2015-09-28,107,398.797,15.9472,14.3416401518095,1.60555984819048,38,45.4070860448301,56,12,19.6688358640636,30,12,20.1735357917571,31,32,7,25,10,1383,3.95833333333333
2015-09-29,107,425.849,17.9705,15.8762522634175,2.09424773658254,38,45.145103645461,55,12,17.5639742673338,25,12,17.6719085060758,26,39,9,30,10,1399,2.84722222222223
2015-09-30,107,384.993,16.249119,14.2412016711111,2.00791732888889,38,44.2768319763138,55,11,15.9851961509993,21,11,15.5706883789785,21,29,6,23,10,1351,6.18055555555556
2015-10-01,107,306.317,13.6965,11.0514160319259,2.64508396807407,37,44.7811831789024,55,11,19.2915181753386,33,10,20.2423378474697,36,22,4,18,10,1403,2.56944444444444
2015-10-02,107,225.675,10.571014,8.35282840922222,2.21818559077778,38,46.8185683912119,59,10,19.4450744153083,35,10,20.7129695251595,38,44,4,40,10,1411,2.01388888888889
2015-10-03,107,42.0533,3.47606,1.50345242937037,1.97260757062963,37,41.8380084151473,49,14,17.7994389901823,22,13,17.3920056100982,22,8,1,7,10,1426,0.972222222222214
2015-10-04,107,104.2653,5.428133,3.58713717444614,1.84099582555386,37,44.104593639576,52,13,20.4961130742049,38,12,20.9533568904594,39,13,3,10,10,1415,1.73611111111111
2015-10-05,107,126.325,6.21065,3.76617193536667,2.44447806463333,38,41.3405797101449,48,16,17.5917874396135,22,15,17.0724637681159,23,4,1,3,10,414,71.25
