"date","geyser_id","total_volume","total_elec_energy","total_enthalpy","est_cost","energy_loss","percent_loss","t_out_min","t_out_mean","t_out_max","t_in_min","t_in_mean","t_in_max","t_amb_min","t_amb_mean","t_amb_max","total_events_count","upper_events_count","lower_events_count","event_midpoint","num_samples","packet_loss"
2015-10-05,107,126.3,6.2,3.8,9.3,2.4,38.7,38,41,48,16,18,22,15,17,23,4,1,3,10,414,71.25
2015-10-06,107,203.4,8.1,6.1,12.15,2,24.7,39,47,49,13,22,25,12,22,25,2,2,0,10,12,99.17
2015-10-07,107,350,16,12.9,24,3.1,19.4,46,53,60,17,29,44,16,31,45,20,5,15,10,887,38.4
2015-10-08,107,135.2,11.3,5.4,16.95,5.9,52.2,42,52,60,16,22,33,14,25,44,23,4,19,10,1409,2.15
2015-10-09,107,202.3,8.3,6.5,12.45,1.8,21.7,40,48,58,17,26,46,17,28,47,36,4,32,10,1429,0.76
2015-10-10,107,295.4,12.6,10.6,18.9,2,15.9,39,46,58,15,22,36,15,23,39,26,7,19,10,1415,1.74
2015-10-11,107,135.6,6.6,4.3,9.9,2.3,34.8,39,45,52,13,24,43,12,24,43,7,3,4,10,1423,1.18
