"date","geyser_id","total_volume","total_elec_energy","total_enthalpy","est_cost","energy_loss","percent_loss","t_out_min","t_out_mean","t_out_max","t_in_min","t_in_mean","t_in_max","t_amb_min","t_amb_mean","t_amb_max","total_events_count","upper_events_count","lower_events_count","event_midpoint","num_samples","packet_loss"
2015-08-15,106,148.1,9.1,7.4,13.65,1.7,18.7,37,49,62,13,14,17,12,14,17,16,4,12,10,1437,0.21
2015-08-16,106,201.3,15.9,7.8,23.85,8.1,50.9,37,47,61,12,15,22,11,16,23,23,5,18,10,1430,0.69
2015-08-17,106,241.4,16.3,11.1,24.45,5.2,31.9,46,52,57,11,17,27,10,17,28,33,7,26,10,1440,0
2015-08-18,106,110.9,5.4,4.5,8.1,0.9,16.7,39,45,55,12,15,20,12,15,21,14,3,11,10,1440,0
2015-08-19,106,177.8,9.5,6.2,14.25,3.3,34.7,38,42,50,11,17,26,10,17,26,18,7,11,10,1428,0.83
2015-08-20,106,98.5,5.5,3.1,8.25,2.4,43.6,37,41,45,12,19,28,11,18,28,7,3,4,10,1439,0.07
2015-08-21,106,195.4,11.1,6.8,16.65,4.3,38.7,38,43,50,13,19,29,13,20,29,24,6,18,10,1440,0
2015-08-22,106,140.4,6.9,4.7,10.35,2.2,31.9,38,43,49,13,20,30,12,21,30,23,4,19,10,1440,0
2015-08-23,106,127.5,7.4,4.3,11.1,3.1,41.9,37,41,46,15,18,23,16,18,23,18,3,15,10,1389,3.54
2015-08-24,106,315.3,15.2,10.7,22.8,4.5,29.6,38,42,47,14,17,19,14,17,21,30,12,18,10,1431,0.62
2015-08-25,106,115.7,6.8,3.9,10.2,2.9,42.6,39,43,48,13,17,24,13,17,25,17,4,13,10,1410,2.08
2015-08-26,106,231.4,11.2,7.6,16.8,3.6,32.1,34,41,47,12,18,26,12,18,26,19,7,12,10,1436,0.28
2015-08-27,106,167.3,8.2,4.9,12.3,3.3,40.2,37,41,44,14,20,28,14,19,28,9,5,4,10,1440,0
2015-08-28,106,174,10,5.9,15,4.1,41,38,44,53,15,17,22,15,17,21,18,8,10,10,1440,0
2015-08-29,106,91.2,5.8,3.1,8.7,2.7,46.6,37,41,47,14,18,23,14,17,23,14,4,10,10,1438,0.14
2015-08-30,106,162.6,9.2,5.8,13.8,3.4,37,38,42,49,14,17,22,13,16,22,17,4,13,10,1440,0
2015-08-31,106,273,13.3,9.1,19.95,4.2,31.6,37,41,49,14,16,18,14,15,19,21,12,9,10,1430,0.69
2015-09-01,106,246.1,11.8,8,17.7,3.8,32.2,37,40,46,12,16,24,11,16,25,23,7,16,10,1435,0.35
2015-09-02,106,146.4,8.9,5,13.35,3.9,43.8,36,40,46,10,17,27,9,17,26,12,5,7,10,1430,0.69
2015-09-03,106,110.8,5.8,3.8,8.7,2,34.5,38,42,46,11,19,30,10,19,29,11,3,8,10,1440,0
2015-09-04,106,156.9,8.2,5,12.3,3.2,39,37,42,48,13,20,32,12,20,33,19,6,13,10,1437,0.21
2015-09-05,106,125.7,6.6,4.1,9.9,2.5,37.9,37,42,48,14,22,34,14,23,35,11,6,5,10,1440,0
2015-09-06,106,142.3,7.8,4.4,11.7,3.4,43.6,38,43,49,16,22,33,16,22,34,22,3,19,10,1440,0
2015-09-07,106,115.2,6.9,3.6,10.35,3.3,47.8,38,41,46,14,18,27,14,17,27,13,3,10,10,1440,0
2015-09-08,106,195.4,9.5,6.3,14.25,3.2,33.7,38,42,47,13,17,22,13,17,25,21,6,15,10,1438,0.14
2015-09-09,106,165.7,8.1,5.2,12.15,2.9,35.8,35,41,47,12,18,28,12,17,28,15,5,10,10,1439,0.07
2015-09-10,106,167.3,9.2,5.5,13.8,3.7,40.2,36,40,45,11,15,18,10,14,18,9,5,4,10,1440,0
2015-09-11,106,156.9,8.2,5.3,12.3,2.9,35.4,37,43,53,10,18,29,9,19,30,26,6,20,10,1429,0.76
2015-09-12,106,155.5,8.5,5.1,12.75,3.4,40,37,42,48,13,20,32,12,20,31,15,3,12,10,1430,0.69
2015-09-13,106,201.4,9.3,6.4,13.95,2.9,31.2,38,42,49,14,21,33,13,22,33,17,6,11,10,1343,6.74
2015-09-14,106,186.6,9.2,5.9,13.8,3.3,35.9,39,43,49,17,22,30,17,23,31,22,5,17,10,1440,0
2015-09-15,106,66.9,5.5,2.2,8.25,3.3,60,39,41,46,16,17,20,15,17,20,14,2,12,10,1440,0
2015-09-16,106,202.7,10,6.7,15,3.3,33,39,42,48,14,18,26,13,18,27,30,8,22,10,1440,0
2015-09-17,106,109.8,5.8,3.3,8.7,2.5,43.1,36,41,44,13,19,28,12,19,27,11,4,7,10,1439,0.07
2015-09-18,106,228.3,11.3,7.2,16.95,4.1,36.3,31,42,51,12,19,28,11,19,28,22,8,14,10,1440,0
2015-09-19,106,165.3,8.1,5.2,12.15,2.9,35.8,38,43,49,11,21,33,11,21,33,21,4,17,10,1440,0
2015-09-20,106,188,9.5,6,14.25,3.5,36.8,39,43,49,15,20,33,15,21,33,20,6,14,10,1440,0
2015-09-21,106,228.9,10.5,7.5,15.75,3,28.6,38,42,48,14,19,25,14,19,25,21,8,13,10,1440,0
2015-09-22,106,114.1,6.7,3.7,10.05,3,44.8,37,42,47,14,20,29,14,19,29,12,3,9,10,1440,0
2015-09-23,106,187.6,9.8,6.1,14.7,3.7,37.8,36,43,51,14,21,33,14,21,33,21,8,13,10,1324,8.06
2015-09-24,106,190.3,8.6,5.5,12.9,3.1,36,38,43,49,15,20,31,15,21,31,42,6,36,10,1440,0
2015-09-25,106,222.8,10.7,7.3,16.05,3.4,31.8,39,43,48,15,20,29,15,20,31,26,7,19,10,1440,0
2015-09-26,106,134.2,7.3,4.3,10.95,3,41.1,37,42,47,16,19,27,16,19,27,19,4,15,10,1440,0
2015-09-27,106,136.8,7.6,4.3,11.4,3.3,43.4,37,42,49,13,19,28,13,18,29,19,4,15,10,1434,0.42
2015-09-28,106,205.2,10.1,6.6,15.15,3.5,34.7,36,42,50,12,19,28,11,19,31,17,8,9,10,1438,0.14
2015-09-29,106,124.4,6.6,3.7,9.9,2.9,43.9,36,40,44,13,18,24,13,17,23,9,3,6,10,1434,0.42
2015-09-30,106,283.9,14,9.1,21,4.9,35,37,41,47,12,16,22,11,16,22,21,10,11,10,1440,0
2015-10-01,106,86.4,5.6,2.8,8.4,2.8,50,37,42,48,10,19,32,9,18,31,9,3,6,10,1430,0.69
2015-10-02,106,224,0,7.3,0,-7.3,-Inf,37,42,49,12,18,30,11,19,31,24,10,14,10,1440,0
2015-10-03,106,153.5,0,4.9,0,-4.9,-Inf,38,41,47,14,18,25,13,17,27,15,4,11,10,1438,0.14
2015-10-04,106,204.5,0.1,6.4,0.15,-6.3,-6300,36,42,48,14,19,27,13,19,29,26,7,19,10,1440,0
2015-10-05,106,195.6,0,5.8,0,-5.8,-Inf,38,43,47,15,21,34,14,21,33,18,6,12,10,1440,0
2015-10-06,106,83.4,0,2.5,0,-2.5,-Inf,38,42,46,14,22,35,13,21,33,15,3,12,10,1440,0
2015-10-07,106,245.5,0,7.7,0,-7.7,-Inf,38,43,49,14,21,34,14,22,37,23,8,15,10,1440,0
