"date","geyser_id","total_volume","total_elec_energy","total_enthalpy","est_cost","energy_loss","percent_loss","t_out_min","t_out_mean","t_out_max","t_in_min","t_in_mean","t_in_max","t_amb_min","t_amb_mean","t_amb_max","total_events_count","upper_events_count","lower_events_count","event_midpoint","num_samples","packet_loss"
2015-08-15,112,147.4,11.1,7.9,16.65,3.2,28.8,38,42,61,11,13,15,13,15,19,2,2,0,10,1434,0.42
2015-08-16,112,144.6,10.8,7.8,16.2,3,27.8,41,45,62,11,13,16,12,16,23,2,2,0,10,1427,0.9
2015-08-17,112,94.3,7.9,5.1,11.85,2.8,35.4,41,45,62,10,14,17,11,17,24,3,1,2,10,1434,0.42
2015-08-18,112,171.3,12.2,8.9,18.3,3.3,27,38,43,62,10,13,16,11,15,20,5,2,3,10,1420,1.39
2015-08-19,112,219.7,14.7,11.6,22.05,3.1,21.1,37,44,62,9,14,17,10,16,23,3,3,0,10,1432,0.56
2015-08-20,112,172.5,11.8,9.1,17.7,2.7,22.9,39,46,62,11,15,19,12,18,26,5,2,3,10,1430,0.69
2015-08-21,112,175.4,12.1,9.3,18.15,2.8,23.1,40,46,62,13,16,20,15,20,26,3,2,1,10,1431,0.62
2015-08-22,112,63.9,5.8,3.4,8.7,2.4,41.4,41,46,62,13,17,21,13,20,27,2,2,0,10,1436,0.28
2015-08-23,112,227.5,14.7,11.7,22.05,3,20.4,39,44,62,14,16,18,15,19,25,4,3,1,10,1338,7.08
2015-08-24,112,63.2,5.9,3.2,8.85,2.7,45.8,39,43,61,13,15,17,15,18,22,1,1,0,10,977,32.15
2015-08-25,112,138.3,10.7,7.2,16.05,3.5,32.7,39,46,64,13,15,18,14,18,22,5,3,2,10,1438,0.14
2015-08-26,112,154.5,11.3,8.3,16.95,3,26.5,38,45,62,12,15,17,12,17,23,2,2,0,10,1433,0.49
2015-08-27,112,238.6,15,13,22.5,2,13.3,40,46,64,12,15,19,13,19,24,4,2,2,10,1426,0.97
2015-08-28,112,153.7,11.3,7.8,16.95,3.5,31,37,43,61,13,15,17,15,17,22,3,3,0,10,1437,0.21
2015-08-29,112,57.9,6.2,3.1,9.3,3.1,50,40,44,62,13,15,17,14,17,22,2,1,1,10,1432,0.56
2015-08-30,112,69.4,6.6,3.6,9.9,3,45.5,39,45,61,13,15,17,14,17,23,3,1,2,10,1435,0.35
2015-08-31,112,216.8,14.4,10.9,21.6,3.5,24.3,33,41,60,12,14,16,14,16,20,6,2,4,10,1435,0.35
2015-09-01,112,215.4,14.7,11,22.05,3.7,25.2,36,42,62,10,13,16,10,15,19,7,2,5,10,1433,0.49
2015-09-02,112,157.2,11.3,8.4,16.95,2.9,25.7,39,44,62,9,13,17,10,16,25,2,2,0,10,1432,0.56
2015-09-03,112,163.9,11.7,8.7,17.55,3,25.6,39,45,62,10,14,18,11,18,25,3,2,1,10,1440,0
2015-09-04,112,159.1,11,8.5,16.5,2.5,22.7,41,46,62,12,16,20,13,19,25,2,2,0,10,1438,0.14
2015-09-05,112,87.9,6.7,4.6,10.05,2.1,31.3,43,47,62,14,19,23,15,23,33,1,1,0,10,1430,0.69
2015-09-06,112,141.3,10.6,6.9,15.9,3.7,34.9,37,45,62,14,19,24,15,23,32,2,2,0,10,1429,0.76
2015-09-07,112,141.4,10,7,15,3,30,39,43,61,12,14,18,13,16,22,3,3,0,10,1436,0.28
2015-09-08,112,216.8,14.1,11.3,21.15,2.8,19.9,40,45,63,11,14,17,11,16,24,6,4,2,10,1363,5.35
2015-09-09,112,150.3,11.2,7.8,16.8,3.4,30.4,40,44,61,10,14,17,11,16,22,3,2,1,10,1432,0.56
2015-09-10,112,73.2,11.8,3.7,17.7,8.1,68.6,37,43,62,10,12,15,10,14,19,4,1,3,10,1258,12.64
2015-09-11,112,196.8,13,10.3,19.5,2.7,20.8,34,44,62,10,15,18,11,19,24,3,3,0,10,1433,0.49
2015-09-12,112,87.2,7.5,4.6,11.25,2.9,38.7,40,45,62,12,15,20,13,19,26,1,1,0,10,1434,0.42
2015-09-13,112,271.4,15.7,13.1,23.55,2.6,16.6,25,45,62,13,17,22,14,22,30,4,2,2,10,1431,0.62
2015-09-14,112,324.4,18.8,16.1,28.2,2.7,14.4,35,46,62,15,21,28,17,26,34,3,3,0,10,1431,0.62
2015-09-15,112,87.2,7.7,4.5,11.55,3.2,41.6,38,45,62,13,16,19,14,18,24,7,1,6,10,1435,0.35
2015-09-16,112,82.5,7.5,4,11.25,3.5,46.7,36,41,58,13,15,17,13,16,21,1,1,0,10,1430,0.69
2015-09-17,112,62,6.8,2.9,10.2,3.9,57.4,34,39,57,11,15,17,12,16,21,2,1,1,10,1433,0.49
2015-09-18,112,0.3,3.1,0,4.65,3.1,100,35,40,50,12,15,18,13,17,22,1,0,1,10,1433,0.49
2015-09-19,112,3.1,3.1,0.1,4.65,3,96.8,38,44,59,12,16,20,12,19,28,1,0,1,10,1430,0.69
2015-09-20,112,70.7,7,3.4,10.5,3.6,51.4,39,44,60,14,18,25,15,21,29,1,1,0,10,1425,1.04
2015-09-21,112,165.5,11.5,8.5,17.25,3,26.1,39,44,64,13,16,19,15,19,26,5,3,2,10,1427,0.9
2015-09-22,112,209.7,13.9,10.9,20.85,3,21.6,42,46,64,13,16,19,14,18,24,6,4,2,10,1434,0.42
2015-09-23,112,124.3,9.1,6.2,13.65,2.9,31.9,42,46,62,13,16,20,13,19,26,3,3,0,10,1435,0.35
2015-09-24,112,77.3,5.8,3.9,8.7,1.9,32.8,41,45,62,13,17,21,13,20,26,1,1,0,10,860,40.28
2015-09-28,112,139.9,9.7,5.5,14.55,4.2,43.3,39,45,60,13,15,18,13,18,24,2,2,0,10,1022,29.03
2015-09-29,112,236.9,15.6,12.5,23.4,3.1,19.9,42,46,65,12,14,18,12,17,25,10,4,6,10,1433,0.49
2015-09-30,112,137.1,10.4,6.9,15.6,3.5,33.7,36,42,61,11,13,17,12,15,20,3,2,1,10,1432,0.56
2015-10-01,112,178.1,12.2,9.3,18.3,2.9,23.8,38,46,64,10,14,22,10,17,23,7,2,5,10,1427,0.9
