"date","geyser_id","total_volume","total_elec_energy","total_enthalpy","energy_loss","t_out_min","t_out_mean","t_out_max","t_in_min","t_in_mean","t_in_max","t_amb_min","t_amb_mean","t_amb_max","total_events_count","upper_events_count","lower_events_count","event_midpoint","num_samples","packet_loss"
2015-09-01,109,1.836,0.982757,0.0915330049992593,0.891223995000741,53,57.5674300254453,64,15,17.2162849872774,20,16,17.7989821882952,23,2,0,2,10,393,72.7083333333333
2015-09-02,109,188.635,10.1477,8.52475174450671,1.62294825549329,48,55.3411592076302,62,14,18.6984592809978,25,15,19.536316947909,26,15,3,12,10,1363,5.34722222222223
2015-09-03,109,80.8867,6.62607,4.07162108434296,2.55444891565704,52,55.828025477707,63,15,20.5583864118896,28,16,21.6334041047417,30,14,2,12,10,1413,1.875
2015-09-04,109,87.2413,6.61513,4.01533172828444,2.59979827171556,53,55.853675945753,61,15,21.4375446109921,31,15,22.7516059957173,34,12,2,10,10,1401,2.70833333333333
2015-09-05,109,113.485,6.78619,4.99379121947222,1.79239878052778,51,55.6007490636704,61,16,22.8419475655431,34,16,24.4898876404494,37,14,3,11,10,1335,7.29166666666666
2015-09-06,109,121.525,7.70626,5.53038001079815,2.17587998920185,51,55.7273462783171,62,19,21.7540453074434,28,19,23.2677993527508,30,17,2,15,10,1236,14.1666666666667
2015-09-07,109,114.208,7.47677,5.38643607132804,2.09033392867196,53,55.74231678487,61,18,20.1930654058314,25,18,20.9235618597321,27,13,2,11,10,1269,11.875
2015-09-08,109,149.615,8.58822,7.13595694509167,1.45226305490833,53,55.9402356902357,62,16,19.8139730639731,28,16,20.96632996633,29,18,4,14,10,1188,17.5
2015-09-09,109,87.6133,7.08122,4.07475581165432,3.00646418834568,52,55.8869969040248,61,15,19.2469040247678,25,15,19.999226006192,26,15,2,13,10,1292,10.2777777777778
2015-09-10,109,107.965,8.031,5.07463327821953,2.95636672178047,52,55.7044534412955,61,15,17.5684210526316,20,16,18.1392712550607,21,11,3,8,10,1235,14.2361111111111
2015-09-11,109,104.479,6.55786,5.24403481375079,1.31382518624921,53,56.1463223787167,64,15,20.170579029734,29,15,21.3677621283255,31,16,3,13,10,1278,11.25
2015-09-12,109,95.5933,4.857396,4.1784462889563,0.678949711043704,47,54.0434426229508,59,17,19.9590163934426,25,17,21.3270491803279,27,12,2,10,10,1220,15.2777777777778
2015-09-13,109,123.5537,9.270651,5.85601146188222,3.41463953811778,42,52.0547504025765,63,17,22.0668276972625,31,18,23.6014492753623,32,19,2,17,10,1242,13.75
2015-09-14,109,98.1173,8.6131,4.6589055476,3.9541944524,51,58.4630503144654,67,19,21.0212264150943,24,20,21.9944968553459,25,13,2,11,10,1272,11.6666666666667
2015-09-15,109,164.997333,11.802762,9.28887619126159,2.51388580873841,59,63.4467084639498,69,17,19.6253918495298,22,18,20.3315047021944,23,23,6,17,10,1276,11.3888888888889
2015-09-16,109,74.6987,6.86221,4.10437386468642,2.75783613531358,60,63.4631083202512,69,16,20.2025117739403,27,17,21.2904238618524,29,15,2,13,10,1274,11.5277777777778
2015-09-17,109,87.9013,7.67615,4.82652038968086,2.84962961031914,60,63.2587412587413,70,16,20.2346542346542,26,17,21.2983682983683,28,13,2,11,10,1287,10.625
2015-09-18,109,79.3387,7.04937,4.27139551031422,2.77797448968578,59,63.0854987426655,69,16,20.6823134953898,28,17,21.7954735959765,29,11,3,8,10,1193,17.1527777777778
2015-09-19,109,102.849,9.26079,5.58731970963619,3.67347029036381,59,63.5994897959184,70,16,21.8945578231293,30,17,23.4812925170068,33,19,3,16,10,1176,18.3333333333333
2015-09-20,109,84.989333,7.03642,4.72195550248037,2.31446449751963,59,63.8666666666667,70,18,22.469696969697,31,19,23.5522727272727,33,20,2,18,10,1320,8.33333333333334
2015-09-21,109,85.840033,5.743056,4.69910462030808,1.04395137969192,60,63.2567324955117,68,19,19.7522441651706,23,20,20.7324955116697,25,7,2,5,10,557,61.3194444444444
2015-09-22,109,2.39467,1.904564,0.115196185713333,1.78936781428667,61,63.9110429447853,69,19,23.7791411042945,30,20,24.1825153374233,31,4,0,4,10,652,54.7222222222222
2015-09-23,109,64.8787,6.78503,3.5416781486413,3.2433518513587,59,63.4503937007874,70,17,22.459842519685,31,18,23.4157480314961,33,9,2,7,10,1270,11.8055555555556
2015-09-24,109,110.498333,8.724205,6.16786574701859,2.55633925298141,59,63.4689754689755,71,17,21.5252525252525,28,18,22.7135642135642,30,15,2,13,10,1386,3.75
2015-09-25,109,91.7107,8.058319,5.13370875058659,2.92461024941341,59,63.7126353790614,70,19,23.4050541516245,31,19,24.4823104693141,32,11,2,9,10,1385,3.81944444444444
2015-09-26,109,106.399,7.29278,5.02002144174489,2.27275855825511,50,61.0973451327434,66,18,20.7610619469027,23,19,21.212389380531,23,4,2,2,10,113,92.1527777777778
2015-09-27,109,73.052067,6.636198,3.74949539116889,2.88670260883111,59,62.0952380952381,66,17,18.9880952380952,25,17,19.6428571428571,25,7,1,6,10,84,94.1666666666667
2015-09-28,109,98.2147,7.65825,5.30337786987444,2.35487213012556,59,64.1904761904762,69,16,22.224025974026,28,16,23.7164502164502,30,11,3,8,10,924,35.8333333333333
2015-09-29,109,136.658333,10.764366,7.50928001654986,3.25508598345014,59,63.461210571185,69,17,19.3026427962489,23,17,20.3299232736573,26,24,2,22,10,1173,18.5416666666667
2015-09-30,109,74.1853,7.10642,4.14495780156116,2.96146219843884,59,63.1974004874086,69,16,18.6368805848903,22,16,19.3850528025995,23,11,2,9,10,1231,14.5138888888889
2015-10-01,109,98.4173,8.26053,5.39671363116265,2.86381636883735,59,63.4780014914243,68,14,20.7665920954512,29,15,21.9567486950037,31,12,3,9,10,1341,6.875
2015-10-02,109,63.2093,6.19314,3.51089820155333,2.68224179844667,60,63.4444444444444,69,14,20.4110384894699,28,15,21.1067538126362,30,14,2,12,10,1377,4.375
2015-10-03,109,113.138333,8.647045,5.60915362208444,3.03789137791556,47,61.2475247524753,67,18,18.8688118811881,24,19,19.2970297029703,26,6,2,4,10,404,71.9444444444444
2015-10-04,109,99.877367,6.537872,4.88325109414,1.65462090586,55,61.1566265060241,66,18,19.9397590361446,22,18,21.144578313253,24,6,2,4,10,83,94.2361111111111
2015-10-05,109,82.328,3.47363,2.41136780221333,1.06226219778667,57,61.8260869565217,67,17,19.5652173913043,30,18,20.0434782608696,33,2,1,1,10,46,96.8055555555556
