"date","geyser_id","total_volume","total_elec_energy","total_enthalpy","est_cost","energy_loss","percent_loss","t_out_min","t_out_mean","t_out_max","t_in_min","t_in_mean","t_in_max","t_amb_min","t_amb_mean","t_amb_max","total_events_count","upper_events_count","lower_events_count","event_midpoint","num_samples","packet_loss"
2015-08-10,104,129.6,8.2,5.6,12.3,2.6,31.7,40,45,57,11,16,24,9,15,24,4,3,1,10,1437,0.21
2015-08-11,104,170.3,10.6,7.7,15.9,2.9,27.4,42,48,58,11,15,22,9,15,22,11,3,8,10,1438,0.14
2015-08-12,104,161.5,9.6,7.2,14.4,2.4,25,44,46,57,14,16,20,13,15,18,10,2,8,10,1433,0.49
2015-08-13,104,234.5,12.9,10.6,19.35,2.3,17.8,42,48,58,14,15,17,12,15,17,26,4,22,10,1436,0.28
2015-08-14,104,184.1,10.8,8.3,16.2,2.5,23.1,44,49,58,14,17,26,13,18,25,16,6,10,10,1430,0.69
2015-08-15,104,220.3,12.3,9.8,18.45,2.5,20.3,43,47,57,14,16,18,14,15,18,15,5,10,10,1432,0.56
2015-08-16,104,152.9,9.5,6.9,14.25,2.6,27.4,44,49,58,14,16,21,13,16,22,20,4,16,10,1432,0.56
2015-08-17,104,171.7,9.7,7.3,14.55,2.4,24.7,43,47,57,13,18,28,11,17,25,14,3,11,10,1438,0.14
2015-08-18,104,205.8,11.4,9.1,17.1,2.3,20.2,43,46,57,13,16,21,12,15,19,13,3,10,10,1427,0.9
2015-08-19,104,236.5,13.3,10.7,19.95,2.6,19.5,43,49,58,13,17,26,12,18,25,13,6,7,10,1436,0.28
2015-08-20,104,170.7,10.2,7.4,15.3,2.8,27.5,44,50,59,13,18,28,12,20,30,22,2,20,10,1434,0.42
2015-08-21,104,127.8,7.6,5.4,11.4,2.2,28.9,43,48,57,14,20,31,14,20,30,18,3,15,10,1434,0.42
2015-08-22,104,125.5,9.4,5.4,14.1,4,42.6,43,49,58,15,21,31,13,21,31,13,3,10,10,1401,2.71
2015-08-23,104,183.9,9.7,7.7,14.55,2,20.6,44,48,57,16,20,24,16,19,23,9,4,5,10,1434,0.42
2015-08-24,104,114.5,7.7,4.9,11.55,2.8,36.4,45,49,58,16,19,25,15,19,25,15,2,13,10,1440,0
2015-08-25,104,171.8,9.7,7.4,14.55,2.3,23.7,44,48,56,15,19,27,14,19,26,11,3,8,10,1439,0.07
2015-08-26,104,142.2,8.9,6.1,13.35,2.8,31.5,44,50,58,14,19,27,13,19,25,13,4,9,10,1434,0.42
2015-08-27,104,194.8,10.2,8.2,15.3,2,19.6,43,50,58,14,19,24,14,20,27,35,4,31,10,1432,0.56
2015-08-28,104,113.9,7.6,4.7,11.4,2.9,38.2,45,48,57,16,19,24,16,19,22,9,2,7,10,1439,0.07
2015-08-29,104,199.4,10.6,8.3,15.9,2.3,21.7,43,48,56,15,18,25,15,18,24,17,4,13,10,1427,0.9
2015-08-30,104,204.2,10.7,8.6,16.05,2.1,19.6,44,47,56,15,18,22,15,17,21,15,2,13,10,1432,0.56
2015-08-31,104,170.6,10,7.2,15,2.8,28,44,47,57,15,17,19,14,16,18,19,4,15,10,1232,14.44
2015-09-01,104,316,16.2,13.8,24.3,2.4,14.8,45,49,57,14,17,23,13,16,23,28,4,24,10,1437,0.21
2015-09-02,104,84.9,6.1,3.5,9.15,2.6,42.6,42,47,55,13,18,27,12,17,25,14,1,13,10,1440,0
2015-09-03,104,177.6,9.9,7.8,14.85,2.1,21.2,43,50,59,13,19,30,12,20,30,34,4,30,10,1436,0.28
2015-09-04,104,104.9,6.3,4.2,9.45,2.1,33.3,44,48,56,14,20,33,13,20,30,21,1,20,10,1435,0.35
2015-09-05,104,134.2,7.7,5.6,11.55,2.1,27.3,44,51,60,15,22,37,14,23,36,30,3,27,10,1431,0.62
2015-09-06,104,344,18.6,13.2,27.9,5.4,29,44,51,59,17,22,36,17,23,35,32,7,25,10,1437,0.21
2015-09-07,104,200.7,10.7,8.6,16.05,2.1,19.6,43,49,58,15,18,21,15,18,22,28,3,25,10,1433,0.49
2015-09-08,104,176.2,9.7,7.2,14.55,2.5,25.8,44,48,57,14,18,28,13,18,26,14,3,11,10,1438,0.14
2015-09-09,104,168.5,10,7.4,15,2.6,26,43,49,58,13,19,30,12,19,28,13,4,9,10,1440,0
2015-09-10,104,208.3,11.2,9.1,16.8,2.1,18.8,43,48,57,14,16,19,13,16,19,26,8,18,10,1436,0.28
2015-09-11,104,113.9,7.5,4.7,11.25,2.8,37.3,44,49,58,14,20,31,13,20,29,12,3,9,10,1430,0.69
