"start_time","volume","duration","mean_flowrate","mean_temp_out","mean_temp_in","type","enthalpy"
2015-10-12 03:01:32,0.716,1,0.716,51,16,"hot",0.0291252888888889
2015-10-12 07:19:32,4.596003,2,2.2980015,51,16,"hot",0.1869551887
2015-10-12 07:23:32,0.612,1,0.612,53,17,"hot",0.02560608
2015-10-12 08:05:32,1.272,2,0.636,54.5,17,"hot",0.055438
2015-10-12 10:34:32,0.26267,2.01666666666667,0.130249586776859,47,19,"hot",0.00854786551111111
2015-10-12 11:41:32,0.321330000000001,2.01666666666667,0.159337190082645,50,19.5,"hot",0.0113904344333334
2015-10-12 12:31:32,0.188000000000001,1,0.188000000000001,50,21,"hot",0.00633643555555558
2015-10-12 13:24:33,0.18267,1,0.18267,52,21,"hot",0.00658139713333333
2015-10-12 13:43:33,0.43337,1,0.43337,53,22,"hot",0.0156138395777778
2015-10-12 18:57:34,74.2053,5,14.84106,52.4,21.4,"hot",2.67353450866667
2015-10-12 19:10:33,3.42139999999999,1,3.42139999999999,52,20,"hot",0.127245667555555
2015-10-12 21:06:33,0.287999999999997,1.01666666666667,0.283278688524587,49,20,"hot",0.00970687999999989
2015-10-12 22:00:33,24.2123,2.01666666666667,12.0060991735537,57,19,"hot",1.06932277822222
2015-10-12 22:03:34,6.127,1,6.127,57,20,"hot",0.263474615555555
2015-10-12 22:16:34,0.885000000000005,1.98333333333333,0.446218487394961,57.5,19.5,"hot",0.0390855333333336
2015-10-12 22:25:34,55.329,5,11.0658,59.2,19.6,"hot",2.546461896
2015-10-12 22:44:34,10.22,1.98333333333333,5.15294117647059,56.5,19,"hot",0.445421666666667
2015-10-12 22:56:34,0.991000000000014,2,0.495500000000007,56.5,19,"hot",0.0431910833333339
2015-10-12 23:00:34,0.721000000000004,1,0.721000000000004,57,18,"hot",0.0326805266666668
2015-10-12 23:59:33,0.155000000000001,1.01666666666667,0.152459016393444,52,19,"hot",0.00594476666666671
2015-10-13 01:33:34,0.927999999999997,1,0.927999999999997,55,18,"hot",0.0399060622222221
