"start_time","volume","duration","mean_flowrate","mean_temp_out","mean_temp_in","type","enthalpy"
2015-10-06 06:34:17,0.832,1,0.832,51,16,"hot",0.0338439111111111
2015-10-06 07:11:17,4.580003,2,2.2900015,54,16,"hot",0.202273288048889
2015-10-06 07:52:17,2.02266,1,2.02266,54,16,"hot",0.0893296552
2015-10-06 15:28:18,0.16,1,0.16,54,33,"hot",0.00390506666666667
2015-10-06 15:30:18,2.03067,1,2.03067,56,28,"hot",0.0660825144
2015-10-06 16:48:18,54.6187,4,13.654675,55,22.75,"hot",2.04719990716667
2015-10-06 20:07:18,0.120000000000005,1,0.120000000000005,56,23,"hot",0.00460240000000017
2015-10-06 22:30:19,51.9117,5,10.38234,54.8,19,"hot",2.15991894173333
2015-10-07 00:45:19,1.50099999999999,1,1.50099999999999,55,18,"hot",0.0645463355555552
