"date","geyser_id","total_volume","total_elec_energy","total_enthalpy","est_cost","energy_loss","percent_loss","t_out_min","t_out_mean","t_out_max","t_in_min","t_in_mean","t_in_max","t_amb_min","t_amb_mean","t_amb_max","total_events_count","upper_events_count","lower_events_count","event_midpoint","num_samples","packet_loss"
2015-09-12,108,149.9,8.6,7,12.9,1.6,18.6,50,56,62,14,21,29,12,18,26,9,5,4,10,1430,0.69
2015-09-13,108,354.9,21.2,15.6,31.8,5.6,26.4,46,55,63,16,23,34,13,21,35,17,5,12,10,1432,0.56
2015-09-14,108,161.4,13.8,8.5,20.7,5.3,38.4,53,60,70,16,25,41,15,20,28,9,5,4,10,1436,0.28
2015-09-15,108,80.8,8.1,4.8,12.15,3.3,40.7,62,66,72,16,23,41,13,17,22,14,4,10,10,1440,0
2015-09-16,108,111.6,10,6.5,15,3.5,35,61,66,72,14,22,36,11,18,29,18,4,14,10,1428,0.83
2015-09-17,108,120.2,10.5,7.3,15.75,3.2,30.5,62,66,72,15,22,41,11,17,28,13,3,10,10,1430,0.69
2015-09-18,108,108.1,9.7,6.6,14.55,3.1,32,62,66,73,15,23,43,11,18,29,13,4,9,10,1423,1.18
2015-09-19,108,55.7,6.9,3.3,10.35,3.6,52.2,63,66,72,10,26,41,10,20,33,9,2,7,10,1440,0
2015-09-20,108,157.1,11.9,9,17.85,2.9,24.4,58,66,71,17,25,36,12,20,38,15,7,8,10,1436,0.28
2015-09-21,108,83,8.2,4.9,12.3,3.3,40.2,63,65,72,17,24,39,13,19,28,7,3,4,10,1438,0.14
2015-09-22,108,71.4,7.4,4.2,11.1,3.2,43.2,63,66,72,16,25,45,13,20,35,10,3,7,10,1425,1.04
2015-09-23,108,109.9,9.6,6,14.4,3.6,37.5,62,65,70,12,25,40,12,21,36,20,2,18,10,1433,0.49
2015-09-24,108,118.8,9.7,6.9,14.55,2.8,28.9,53,65,74,16,26,38,12,21,35,13,5,8,10,1439,0.07
2015-09-25,108,91.3,7.8,5.4,11.7,2.4,30.8,63,66,73,15,26,48,14,22,37,12,3,9,10,1430,0.69
2015-09-26,108,107.8,10,6.4,15,3.6,36,62,66,73,16,23,38,14,17,21,6,5,1,10,1435,0.35
2015-09-27,108,71.5,8.6,4.3,12.9,4.3,50,63,66,72,15,22,39,11,16,30,6,3,3,10,1438,0.14
2015-09-28,108,78.5,7.7,4.5,11.55,3.2,41.6,63,66,72,13,23,40,10,19,32,9,3,6,10,1432,0.56
2015-09-29,108,34.2,6.2,2.1,9.3,4.1,66.1,63,66,73,14,24,38,11,16,24,3,1,2,10,1440,0
2015-09-30,108,57.9,6.7,3.4,10.05,3.3,49.3,63,65,72,15,20,28,9,15,22,10,1,9,10,1425,1.04
2015-10-01,108,79.6,11.9,4.7,17.85,7.2,60.5,63,66,72,11,24,37,8,19,35,2,2,0,10,1433,0.49
2015-10-02,108,36.7,5.4,2.2,8.1,3.2,59.3,63,66,70,11,25,43,8,18,33,2,1,1,10,1432,0.56
2015-10-03,108,44.7,6,2.7,9,3.3,55,63,66,72,18,24,37,13,16,23,2,2,0,10,1433,0.49
2015-10-04,108,101.9,9.6,5.9,14.4,3.7,38.5,63,66,72,18,24,33,14,19,32,10,4,6,10,1427,0.9
2015-10-05,108,20.3,5.1,1.2,7.65,3.9,76.5,63,65,73,17,27,37,14,21,33,3,1,2,10,1440,0
2015-10-06,108,0,3,0,4.5,3,100,63,66,68,20,30,45,11,21,39,1,0,1,10,1440,0
2015-10-07,108,0.2,3.9,0,5.85,3.9,100,63,66,70,20,29,40,11,22,37,1,0,1,10,1440,0
