"start_time","volume","duration","mean_flowrate","mean_temp_out","mean_temp_in","type","enthalpy"
2015-10-10 08:04:39,5.512,2.28333333333333,2.41401459854015,44,19.5,"hot",0.156951137777778
2015-10-10 08:28:39,6.8067,2,3.40335,44,20,"hot",0.189861552
2015-10-10 09:01:39,5.8013,2.08333333333333,2.784624,47.6666666666667,20.3333333333333,"hot",0.184292260592593
2015-10-10 09:04:39,23.5507,9.18333333333333,2.56450453720508,48,19.3333333333333,"hot",0.784639544148148
2015-10-10 09:14:39,18.5853,10.0666666666667,1.84622185430464,48,19.8888888888889,"hot",0.607206990296296
2015-10-10 09:37:39,0.146700000000003,1,0.146700000000003,47,22,"hot",0.00426245000000008
2015-10-10 10:06:39,17.1346,4.18333333333333,4.0959203187251,47.4,21.2,"hot",0.521752377688889
2015-10-10 10:11:41,4.184,0.983333333333333,4.25491525423729,47,19,"hot",0.136156657777778
2015-10-10 10:21:40,2.7266,0.983333333333333,2.77281355932204,47,20,"hot",0.0855607080000001
2015-10-10 10:43:40,0.330699999999993,1,0.330699999999993,46,22,"hot",0.00922432533333314
2015-10-10 11:49:39,1.22,1,1.22,48,24,"hot",0.0340298666666666
2015-10-10 13:08:39,5.9307,2,2.96535,48,23,"hot",0.172319783333333
2015-10-10 13:18:39,2.0386,1.08333333333333,1.88178461538462,47,22,"hot",0.0592326555555556
2015-10-10 13:30:39,3.1947,2,1.59735,48,22,"hot",0.0965367346666666
2015-10-10 13:40:39,4.379,1,4.379,48,22,"hot",0.132323648888889
2015-10-10 14:00:39,2.758,2,1.379,46,22.5,"hot",0.0753271088888888
2015-10-10 14:05:39,6.254,3.08333333333333,2.02832432432433,47.6666666666667,20.6666666666667,"hot",0.19625052
2015-10-10 14:51:39,19.393,6,3.23216666666666,48,20.3333333333333,"hot",0.623578323703703
2015-10-10 15:02:39,6.715,4.05,1.65802469135803,47.25,20.25,"hot",0.2107167
2015-10-10 16:37:39,0.104000000000013,1,0.104000000000013,47,25,"hot",0.00265916444444479
2015-10-10 17:21:39,0.258999999999986,1,0.258999999999986,46,24,"hot",0.00662234222222187
2015-10-10 17:43:39,6,3,2,46.6666666666667,20.6666666666667,"hot",0.181306666666667
2015-10-10 17:54:39,3.88,3,1.29333333333333,46,20,"hot",0.117244977777778
2015-10-10 17:59:39,0.183999999999997,1,0.183999999999997,46,20,"hot",0.00556007111111104
2015-10-10 18:38:39,2.60400000000001,3,0.868000000000004,46,20.6666666666667,"hot",0.0766694755555559
2015-10-10 19:15:39,2.46000000000001,2,1.23,46,19,"hot",0.0771948000000002
2015-10-10 19:19:39,1.32999999999998,1,1.32999999999998,46,19,"hot",0.0417353999999995
2015-10-10 19:34:39,0.801000000000016,1,0.801000000000016,44,19,"hot",0.0232735000000005
2015-10-10 19:50:39,0.643000000000001,1,0.643000000000001,44,19,"hot",0.0186827222222222
2015-10-10 19:52:39,0.188999999999993,1,0.188999999999993,46,19,"hot",0.00593081999999978
2015-10-10 19:56:39,0.131999999999977,1,0.131999999999977,46,19,"hot",0.00414215999999927
2015-10-10 19:59:39,1.40600000000001,1,1.40600000000001,45,19,"hot",0.0424861955555557
2015-10-10 20:51:39,5.22499999999999,3,1.74166666666666,47.3333333333333,19.3333333333333,"hot",0.170033111111111
2015-10-10 21:00:40,14.854,7.98333333333333,1.86062630480167,47.625,19,"hot",0.494171949444445
2015-10-10 21:11:39,1.25,1,1.25,47,19,"hot",0.0406777777777778
2015-10-10 21:28:39,0.146999999999991,1,0.146999999999991,46,19,"hot",0.00461285999999973
2015-10-10 21:35:38,1.429,2.01666666666667,0.708595041322315,46,18.5,"hot",0.0456724277777779
2015-10-10 21:39:39,0.242999999999995,1,0.242999999999995,47,18,"hot",0.00819017999999983
2015-10-10 21:51:39,0.106999999999999,1,0.106999999999999,45,18,"hot",0.00335765999999998
2015-10-10 21:56:39,0.14500000000001,1,0.14500000000001,45,18,"hot",0.00455010000000032
